"ID","PID","Title","keywords"
"B10MMittelVO","B10MMittel","Volumen und Oberfläche","Volume; Capacity; Calculate_volume_of_cone; Calculate_volume_of_sphere; Use_formula_of_pyramid_volume; Use_formula_of_volume_of_cone; Calculate_volume_of_pyramid_using_formula;  Cone; Sphere; Pyramid;"
"B10MMittelTr","B10MMittel","Trigonometrie","Calculate_length; Formula_for_length; Calculate_approximate_measure_of_acute_angle_with_given_sine_using_calculator; Calculate_approximate_measure_of_acute_angle_with_given_tangent_using_calculator; Calculate_angle_in_right_triangle_from_two_sides; Calculate_approximate_measure_of_acute_angle_with_given_cosine_using_calculator; Calculate_side_length_of_right_triangle_from_one_side_and_one_angle; Calculate_angle_in_right_triangle_from_one_side_and_one_angle; Trigonometric_ratio; Calculate_trigonometric_ratio;"
"B10MMittelAhn","B10MMittel","Ähnlichkeit","Similar; similar_triangles; Solve_similarity_problems;  Understand_similarity; Use_similarity; "
"B10MErweitert","BSek1Kl10M","Erweiterter Standard",""
"B10MErweitertMG","B10MErweitert","Messen und Größen","magnitudes_and_measurements; Control_appropriateness_and_accuracy_of_results; Time; Calculate_time; Calculate_duration; Mass; Calculate_change_of_units_for_mass; Calculate_lengths; Length_unit; Calculate_change_of_units_for_lengths; Compare_lengths; Area; Base; Compare_areas; Measure_area; Estimate_areas_in_2D; Measure_volume; Estimate_measure; Compare_inscribed_angles_with_same_arc; "
"B10MErweitertFU","B10MErweitert","Flächeninhalt und Umfang","Formula_for_area; Calculate_area_of_figures_made_of_rectangles_and_right_triangles;"
"B10MErweitertVO","B10MErweitert","Volumen und Oberfläche","Volume; Capacity; Calculate_volume_of_cone; Calculate_volume_of_sphere; Use_formula_of_pyramid_volume; Use_formula_of_volume_of_cone; Calculate_volume_of_pyramid_using_formula;  Cone; Sphere; Pyramid; Know_volume_of_right_cylinder; calculate_volume_of_right_parallelepiped; Calculate_volume_of_right_prism; Calculate_areas_of_cylinder; ApproximationProcess; Bound; "
"B10MErweitertTR","B10MErweitert","Trigonometrie","Calculate_length; Formula_for_length; Calculate_approximate_measure_of_acute_angle_with_given_sine_using_calculator; Calculate_approximate_measure_of_acute_angle_with_given_tangent_using_calculator; Calculate_angle_in_right_triangle_from_two_sides; Calculate_approximate_measure_of_acute_angle_with_given_cosine_using_calculator; Calculate_side_length_of_right_triangle_from_one_side_and_one_angle; Calculate_angle_in_right_triangle_from_one_side_and_one_angle; Trigonometric_ratio; Calculate_trigonometric_ratio;"
"B10MErweitertAhn","B10MErweitert","Ähnlichkeit","Similar; similar_triangles; Solve_similarity_problems;  Understand_similarity; Use_similarity; "
"BSek1Kl10R","BSek1Kl10","Leitidee 'Raum und Form'",""
"B10REinfach","BSek1Kl10R","Einfacher Standard",""
"B10REinfachW","B10REinfach","Winkel","Use_theorem_about_the_sum_of_the_angles_in_triangle; Reproduce_angle; Transfer_an_angle; Construct_angle_with_given_measure_with_protractor; Angle_fig; "
"B10REinfachgS","B10REinfach","geometrische Strukturen","patterns_and_structures; Use_basic_geometry_to_describe_real_world; "
"B10REinfachKdr","B10REinfach","Konstruktion von Dreiecken (mit Hilfsmitteln)","Construct_isosceles_triangle_using_graduated_ruler_and_compass; Use_theorem_about_the_sum_of_the_angles_in_triangle; Reproduce_isosceles_triangle; Construct_triangle_with_given_ASA; Reproduce_equilateral_triangle; Reproduce_a_rightangled_triangle; Draw_isosceles_triangle; Construct_triangle_with_given_SAS; Construct_right_angled_triangle_using_graduated_ruler_and_compass; Construct_equilateral_triangle_using_graduated_ruler_and_compass; Construct_equilateral_triangle; Construct_RightAngledTriangle; Compass; Graduated_ruler; Ruler;  Set_square; Dynamic_interactive_geometry_environments; "
"B10REinfachMod","B10REinfach","Modellierungsaufgaben","Real_world_representation; Model_a_situation_using_geometry; Real_world_problem; "
"B10REinfachGO","B10REinfach","Eigenschaften geometrischer Objekte","Similar; similar_triangles; Solve_similarity_problems;  Understand_similarity; Use_similarity; Relationship; Know_basic_relations_in_2D; "
"B10REinfachKö","B10REinfach","Analysieren und Klassifizieren von Körpern","Solidobjects; Know_parallelism_of_faces_in_solids; classify_solids; Know_faces_that_are_perpendicular_in_solids; "
"B10REinfachSeG","B10REinfach","Sätze ebener Geometrie","Theorem; use_intercepttheorem_to_check_relations; Know_Pythagoras_theorem; Use_proportionality_of_sidelengths_of_triangles_in_particular_configuration; Understand_Pythagoras_theorem; Use_Pythagoras_theorem_to_obtain_magnitudes; exploreThalesCircleTheorem; Know_Thales_Circle_theorem; Know_converse_of_Thales_Circle_theorem; illustrateThalesCircleTheorem; PythagorasTheorem; Use_Pythagoras_theorem_to_obtain_magnitudes;"
"B10REinfachVV","B10REinfach","Vergrößern und verkleinern ebener Figuren","Construct_enlargement_of_a_figure; Reduction; Ampliation; "
"B10REinfachKoo","B10REinfach","Koordinatensystem","Point_in_coordinate_system; Origin_of_coordinates;  Plane_in_coordinate_system; Line_in_coordinate_system;"
"B10REinfach2d","B10REinfach","2-D Körper bennenen und beschreiben","Net_of_a_solid; Orthogonal_projection_of_solid; Analyze_cylinder_and_right_prism_using_geometry_software; classify_solids; Projection; tp://Representation_in_cavalier_perspective; "
"B10REinfachSK","B10REinfach","Schrägbilder und Körpernetze ","Net_of_a_solid; Construct_net_of_a_solid; Construct_net_of_pyramid_with_given_dimensions; "
"B10RMittel","BSek1Kl10R","Mittlerer Standard",""
